Kode Transaksi;Nama Barang;Quantity
#1;Kaos;1
#1;Shampo Biasa;1
#1;Sepatu Sport merk Z;1
#1;Serum Vitamin;1
#1;Baju Renang Pria Dewasa;1
#1;Baju Renang Wanita Dewasa;1
#1;Baju Kaos Olahraga;1
#1;Celana Jogger Casual;1
#1;Dompet Card Holder;1
#2;Celana Jeans Sobek Wanita;1
#2;Blouse Denim;1
#2;Baju Batik Wanita;1
#2;Hair and Scalp;1
#2;Shampo Biasa;1
#2;Minyak Rambut;1
#2;Wedges Hitam;1
#2;Sepatu Sandal Anak;1
#2;Tas Sekolah Anak Perempuan;1
#2;Baju Kemeja Putih;1
#2;Dompet Flip Cover;1
#3;Shampo Biasa;1
#3;Hair Tonic;1
#3;Sepatu Sandal Anak;1
#3;Serum Vitamin;1
#3;Baju Kemeja Putih;1
#3;Baju Kaos Anak - Superheroes;1
#3;Celana Pendek Casual;1
#3;Dompet Card Holder;1
#4;Celana Jeans Sobek Wanita;1
#4;Jeans Jumbo;1
#4;Celana Pendek Jeans;1
#4;Blouse Denim;1
#4;Baju Batik Wanita;1
#4;Shampo Biasa;1
#4;Sepatu Sandal Anak;1
#4;Sepatu Sekolah Hitam W;1
#4;Serum Vitamin;1
#4;Tas Ransel Mini;1
#4;Celana Pendek Casual;1
#4;Dompet Kulit Pria;1
#4;Dompet Card Holder;1
#4;Dompet Flip Cover;1
#5;Hair Dryer;1
#5;Shampo Biasa;1
#5;Flat Shoes Ballerina;1
#5;Sepatu Sport merk Z;1
#5;Serum Vitamin;1
#5;Tas Sekolah Anak Laki-laki;1
#5;Cover Koper;1
#5;Gembok Koper;1
#6;Celana Jeans Sobek Wanita;1
#6;Jeans Jumbo;1
#6;Sweater Top Panjang;1
#6;Tank Top;1
#6;Baju Batik Wanita;1
#6;Hair and Scalp;1
#6;Hair Dryer;1
#6;Shampo Biasa;1
#6;Hair Tonic;1
#6;Sepatu Sandal Anak;1
#6;Sepatu Sport merk Z;1
#6;Baju Kemeja Putih;1
#6;Celana Jogger Casual;1
#6;Celana Pendek Casual;1
#6;Dompet Card Holder;1
#7;Sweater Top Panjang;1
#7;Atasan Kaos Putih;1
#7;Tank Top;1
#7;Atasan Baju Belang;1
#7;Shampo Anti Dandruff;1
#7;Tas Pinggang Wanita;1
#7;Koper Fiber;1
#7;Cover Koper;1
#7;Celana Jogger Casual;1
#7;Celana Pendek Casual;1
#8;Celana Pendek Jeans;1
#8;Atasan Kaos Putih;1
#8;Shampo Anti Dandruff;1
#8;Flat Shoes Ballerina;1
#8;Sepatu Sport merk Y;1
#8;Sepatu Sport merk Z;1
#8;Tas Ransel Mini;1
#8;Dompet STNK Gantungan;1
#9;Celana Jeans Sobek Wanita;1
#9;Celana Pendek Jeans;1
#9;Blouse Denim;1
#9;Baju Batik Wanita;1
#9;Hair and Scalp;1
#9;Hair Dryer;1
#9;Shampo Biasa;1
#9;Flat Shoes Ballerina;1
#9;Sepatu Sport merk Z;1
#9;Cream Whitening;1
#9;Tas Ransel Mini;1
#9;Tas Sekolah Anak Laki-laki;1
#9;Cover Koper;1
#9;Baju Kemeja Putih;1
#9;Baju Renang Pria Dewasa;1
#9;Celana Jogger Casual;1
#9;Celana Tactical ;1
#9;Dompet Card Holder;1
#10;Jeans Jumbo;1
#10;Celana Pendek Jeans;1
#10;Kaos;1
#10;Baju Batik Wanita;1
#10;Hair Dryer;1
#10;Wedges Hitam;1
#10;Flat Shoes Ballerina;1
#10;Baju Kemeja Putih;1
#10;Celana Jogger Casual;1
#10;Dompet Card Holder;1
#10;Dompet STNK Gantungan;1
#11;Woman Ripped Jeans ;1
#11;Atasan Baju Belang;1
#11;Blouse Denim;1
#11;Tas Travel;1
#11;Tali Pinggang Anak;1
#12;Baju Batik Wanita;1
#12;Hair Dryer;1
#12;Sepatu Sandal Anak;1
#12;Sepatu Sport merk Z;1
#12;Serum Vitamin;1
#12;Tas Sekolah Anak Laki-laki;1
#12;Tas Travel;1
#12;Celana Jogger Casual;1
#12;Dompet Unisex;1
#12;Tali Pinggang Gesper Pria;1
#13;Celana Pendek Jeans;1
#13;Blouse Denim;1
#13;Shampo Biasa;1
#13;Serum Vitamin;1
#13;Tas Waist Bag;1
#13;Tas Tangan;1
#13;Baju Kemeja Putih;1
#13;Baju Kaos Olahraga;1
#13;Baju Kaos Anak - Superheroes;1
#13;Celana Pendek Green/Hijau;1
#13;Dompet Kulit Pria;1
#13;Dompet Flip Cover;1
#14;Sweater Top Panjang;1
#14;Baju Batik Wanita;1
#14;Tas Waist Bag;1
#14;Tas Sekolah Anak Laki-laki;1
#14;Cover Koper;1
#14;Dompet Flip Cover;1
#14;Tali Pinggang Gesper Pria;1
#15;Obat Penumbuh Rambut;1
#15;Sepatu Sandal Anak;1
#15;Pelembab;1
#15;Tas Ransel Mini;1
#15;Cover Koper;1
#15;Baju Renang Wanita Dewasa;1
#16;Celana Jeans Sobek Wanita;1
#16;Tank Top;1
#16;Shampo Biasa;1
#16;Minyak Rambut;1
#16;Flat Shoes Ballerina;1
#16;Sepatu Sport merk Y;1
#16;Serum Vitamin;1
#16;Cover Koper;1
#16;Tas Travel;1
#16;Baju Renang Pria Dewasa;1
#17;Shampo Biasa;1
#17;Flat Shoes Ballerina;1
#17;Tas Sekolah Anak Laki-laki;1
#17;Cover Koper;1
#17;Tas Travel;1
#17;Baju Renang Pria Dewasa;1
#18;Sweater Top Panjang;1
#18;Baju Batik Wanita;1
#18;Shampo Biasa;1
#18;Flat Shoes Ballerina;1
#18;Cover Koper;1
#18;Baju Renang Wanita Dewasa;1
#18;Baju Kaos Olahraga;1
#18;Dompet Card Holder;1
#19;Jeans Jumbo;1
#19;Celana Pendek Jeans;1
#19;Sweater Top Panjang;1
#19;Tank Top;1
#19;Atasan Baju Belang;1
#19;Shampo Biasa;1
#19;Wedges Hitam;1
#19;Flat Shoes Ballerina;1
#19;Sepatu Sandal Anak;1
#19;Serum Vitamin;1
#19;Tas Waist Bag;1
#19;Cover Koper;1
#19;Tas Travel;1
#19;Baju Kemeja Putih;1
#19;Celana Pendek Green/Hijau;1
#20;Tank Top;1
#20;Kaos;1
#20;Hair Dryer;1
#20;Shampo Biasa;1
#20;Obat Penumbuh Rambut;1
#20;Sepatu Sport merk Z;1
#20;Serum Vitamin;1
#20;Baju Renang Wanita Dewasa;1
#20;Baju Kaos Anak - Karakter Kartun;1
#20;Celana Tactical ;1
#20;Dompet Card Holder;1
#21;Celana Jeans Sobek Wanita;1
#21;Shampo Biasa;1
#21;Minyak Rambut;1
#21;Wedges Hitam;1
#21;Serum Vitamin;1
#21;Celana Jogger Casual;1
#21;Celana Tactical ;1
#21;Dompet Flip Cover;1
#21;Tali Pinggang Gesper Pria;1
#22;Celana Jeans Sobek Wanita;1
#22;Celana Pendek Jeans;1
#22;Atasan Kaos Putih;1
#22;Shampo Biasa;1
#22;Shampo Anti Dandruff;1
#22;Tas Pinggang Wanita;1
#22;Celana Jogger Casual;1
#22;Celana Tactical ;1
#23;Celana Jeans Sobek Wanita;1
#23;Woman Ripped Jeans ;1
#23;Blouse Denim;1
#23;Shampo Biasa;1
#23;Wedges Hitam;1
#23;Sepatu Sandal Anak;1
#23;Sepatu Sekolah Hitam W;1
#23;Serum Vitamin;1
#23;Tas Travel;1
#23;Celana Tactical ;1
#23;Tali Pinggang Gesper Pria;1
#23;Tali Pinggang Anak;1
#24;Celana Jeans Sobek Wanita;1
#24;Baju Batik Wanita;1
#24;Hair Dryer;1
#24;Shampo Biasa;1
#24;Sepatu Kulit Casual;1
#24;Serum Vitamin;1
#24;Tas Pinggang Wanita;1
#24;Tas Waist Bag;1
#24;Tas Ransel Mini;1
#24;Baju Kemeja Putih;1
#24;Tali Pinggang Gesper Pria;1
#25;Celana Jeans Sobek Wanita;1
#25;Blouse Denim;1
#25;Baju Batik Wanita;1
#25;Hair and Scalp;1
#25;Shampo Biasa;1
#25;Wedges Hitam;1
#25;Tas Makeup;1
#25;Tas Pinggang Wanita;1
#25;Tas Travel;1
#25;Baju Kemeja Putih;1
#25;Baju Renang Anak Perempuan;1
#25;Dompet Flip Cover;1
#25;Tali Pinggang Gesper Pria;1
#26;Atasan Kaos Putih;1
#26;Hair Dryer;1
#26;Shampo Biasa;1
#26;Shampo Anti Dandruff;1
#26;Sepatu Sport merk Z;1
#26;Tas Pinggang Wanita;1
#26;Tas Ransel Mini;1
#26;Cover Koper;1
#26;Baju Kemeja Putih;1
#26;Celana Jogger Casual;1
#26;Dompet STNK Gantungan;1
#26;Tali Pinggang Gesper Pria;1
#27;Celana Jeans Sobek Wanita;1
#27;Jeans Jumbo;1
#27;Celana Pendek Jeans;1
#27;Shampo Biasa;1
#27;Sepatu Sandal Anak;1
#27;Kuas Makeup ;1
#27;Serum Vitamin;1
#27;Cream Whitening;1
#27;Sunblock Cream;1
#27;Tas Pinggang Wanita;1
#27;Tas Travel;1
#27;Baju Kemeja Putih;1
#27;Baju Kaos Olahraga;1
#27;Baju Kaos Anak - Superheroes;1
#27;Dompet Flip Cover;1
#27;Tali Pinggang Gesper Pria;1
#28;Celana Jeans Sobek Wanita;1
#28;Shampo Biasa;1
#28;Obat Penumbuh Rambut;1
#28;Wedges Hitam;1
#28;Serum Vitamin;1
#28;Tas Waist Bag;1
#28;Cover Koper;1
#28;Baju Renang Wanita Dewasa;1
#28;Celana Jogger Casual;1
#28;Dompet Flip Cover;1
#28;Tali Pinggang Gesper Pria;1
#29;Celana Jeans Sobek Wanita;1
#29;Jeans Jumbo;1
#29;Celana Pendek Jeans;1
#29;Baju Batik Wanita;1
#29;Hair and Scalp;1
#29;Shampo Biasa;1
#29;Shampo Anti Dandruff;1
#29;Obat Penumbuh Rambut;1
#29;Wedges Hitam;1
#29;Tas Kulit Selempang;1
#30;Celana Jeans Sobek Wanita;1
#30;Atasan Kaos Putih;1
#30;Hair Dryer;1
#30;Shampo Biasa;1
#30;Tas Pinggang Wanita;1
#30;Baju Kemeja Putih;1
#30;Celana Jogger Casual;1
#30;Dompet Card Holder;1
#30;Tali Pinggang Gesper Pria;1
#31;Celana Jeans Sobek Wanita;1
#31;Jeans Jumbo;1
#31;Tank Top;1
#31;Hair Dryer;1
#31;Shampo Biasa;1
#31;Baju Kemeja Putih;1
#31;Dompet Card Holder;1
#31;Tali Pinggang Gesper Pria;1
#32;Celana Pendek Jeans;1
#32;Kaos;1
#32;Baju Batik Wanita;1
#32;Shampo Biasa;1
#32;Sepatu Sandal Anak;1
#32;Serum Vitamin;1
#32;Tas Sekolah Anak Laki-laki;1
#32;Cover Koper;1
#32;Celana Jogger Casual;1
#32;Celana Pendek Casual;1
#32;Tali Pinggang Gesper Pria;1
#32;Tali Pinggang Anak;1
#33;Tank Top;1
#33;Shampo Biasa;1
#33;Shampo Anti Dandruff;1
#33;Minyak Rambut;1
#33;Sepatu Sport merk Z;1
#33;Serum Vitamin;1
#33;Cover Koper;1
#33;Gembok Koper;1
#33;Baju Kemeja Putih;1
#33;Celana Jogger Casual;1
#33;Dompet Kulit Pria;1
#34;Sweater Top Panjang;1
#34;Kaos;1
#34;Wedges Hitam;1
#34;Baju Kemeja Putih;1
#34;Celana Pendek Casual;1
#34;Dompet Kulit Pria;1
#34;Dompet STNK Gantungan;1
#34;Dompet Flip Cover;1
#35;Baju Batik Wanita;1
#35;Serum Vitamin;1
#35;Tas Pinggang Wanita;1
#35;Tas Waist Bag;1
#35;Tas Multifungsi;1
#35;Cover Koper;1
#35;Celana Pendek Green/Hijau;1
#36;Celana Jeans Sobek Wanita;1
#36;Kaos;1
#36;Atasan Baju Belang;1
#36;Shampo Biasa;1
#36;Flat Shoes Ballerina;1
#36;Sepatu Sandal Anak;1
#36;Tas Travel;1
#36;Baju Kemeja Putih;1
#36;Tali Pinggang Gesper Pria;1
#36;Tali Pinggang Anak;1
#37;Celana Jeans Sobek Wanita;1
#37;Hair Dryer;1
#37;Shampo Biasa;1
#37;Sepatu Sandal Anak;1
#37;Sepatu Sport merk Z;1
#37;Tas Pinggang Wanita;1
#37;Tas Ransel Mini;1
#37;Cover Koper;1
#37;Baju Kemeja Putih;1
#37;Baju Kaos Anak - Superheroes;1
#37;Celana Jogger Casual;1
#37;Tali Pinggang Gesper Pria;1
#38;Celana Jeans Sobek Wanita;1
#38;Atasan Kaos Putih;1
#38;Tank Top;1
#38;Wedges Hitam;1
#38;Sepatu Sport merk Y;1
#38;Serum Vitamin;1
#38;Gembok Koper;1
#38;Tas Travel;1
#38;Baju Renang Pria Dewasa;1
#39;Celana Pendek Jeans;1
#39;Tank Top;1
#39;Kaos;1
#39;Baju Batik Wanita;1
#39;Hair Dryer;1
#39;Shampo Biasa;1
#39;Sepatu Sandal Anak;1
#39;Sepatu Kulit Casual;1
#39;Serum Vitamin;1
#39;Dompet Flip Cover;1
#39;Tali Pinggang Anak;1
#40;Celana Jeans Sobek Wanita;1
#40;Woman Ripped Jeans ;1
#40;Blouse Denim;1
#40;Baju Batik Wanita;1
#40;Shampo Biasa;1
#40;Shampo Anti Dandruff;1
#40;Flat Shoes Ballerina;1
#40;Sepatu Sandal Anak;1
#40;Sepatu Sport merk Z;1
#40;Sepatu Sekolah Hitam W;1
#40;Serum Vitamin;1
#40;Tas Ransel Mini;1
#40;Cover Koper;1
#40;Baju Kemeja Putih;1
#40;Celana Jogger Casual;1
#40;Celana Tactical ;1
#40;Dompet Kulit Pria;1
#40;Dompet Flip Cover;1
#40;Tali Pinggang Anak;1
#41;Sweater Top Panjang;1
#41;Hair Dryer;1
#41;Shampo Biasa;1
#41;Flat Shoes Ballerina;1
#41;Sepatu Sport merk Z;1
#41;Serum Vitamin;1
#41;Tas Waist Bag;1
#41;Tas Ransel Mini;1
#41;Cover Koper;1
#41;Baju Kemeja Putih;1
#41;Celana Jogger Casual;1
#42;Woman Ripped Jeans ;1
#42;Blouse Denim;1
#42;Baju Batik Wanita;1
#42;Hair and Scalp;1
#42;Shampo Biasa;1
#42;Hair Dye;1
#42;Sepatu Sport merk Y;1
#42;Serum Vitamin;1
#42;Tas Waist Bag;1
#42;Tas Sekolah Anak Laki-laki;1
#42;Tas Multifungsi;1
#42;Baju Kemeja Putih;1
#42;Tali Pinggang Anak;1
#43;Blouse Denim;1
#43;Hair and Scalp;1
#43;Hair Dryer;1
#43;Shampo Biasa;1
#43;Sepatu Sandal Anak;1
#43;Tas Makeup;1
#43;Tas Ransel Mini;1
#43;Baju Kemeja Putih;1
#43;Baju Renang Anak Perempuan;1
#43;Celana Pendek Green/Hijau;1
#43;Dompet Card Holder;1
#44;Celana Pendek Jeans;1
#44;Blouse Denim;1
#44;Baju Batik Wanita;1
#44;Hair and Scalp;1
#44;Shampo Biasa;1
#44;Obat Penumbuh Rambut;1
#44;Sepatu Sandal Anak;1
#44;Sepatu Sport merk Y;1
#44;Serum Vitamin;1
#44;Tas Sekolah Anak Laki-laki;1
#44;Tas Multifungsi;1
#44;Baju Kemeja Putih;1
#44;Celana Tactical ;1
#45;Atasan Kaos Putih;1
#45;Shampo Biasa;1
#45;Wedges Hitam;1
#45;Sepatu Sandal Anak;1
#45;Sepatu Sport merk Y;1
#45;Sepatu Sport merk Z;1
#45;Tas Waist Bag;1
